USD,GBP,EUR,Date,Year
80.16036,139.22395,95.65457,2006-03-01,2006
80.15494,138.53224,95.48801,2006-03-02,2006
80.15613,140.02522,95.64672,2006-03-06,2006
80.16032,140.61087,95.45772,2006-03-07,2006
80.16147,140.46661,97.428,2006-03-09,2006
80.1597,139.73563,97.31579,2006-03-10,2006
80.16119,139.07911,96.70552,2006-03-13,2006
80.15984,139.0802,96.01669,2006-03-14,2006
80.16099,140.06508,96.01744,2006-03-16,2006
80.56207,139.5919,96.33182,2006-03-17,2006
80.16126,139.57123,96.22743,2006-03-20,2006
80.16128,138.39583,97.21571,2006-03-22,2006
80.16041,141.17899,96.5364,2006-03-24,2006
80.16087,140.47461,98.23691,2006-03-27,2006
80.1615,140.36533,98.55027,2006-03-28,2006
80.15628,139.9421,97.7026,2006-03-29,2006
80.15613,140.63583,97.17221,2006-03-30,2006
80.15807,140.605,97.36758,2006-04-03,2006
80.15976,140.94721,97.1495,2006-04-05,2006
80.16068,142.03055,97.67444,2006-04-06,2006
80.16127,142.92201,98.1802,2006-04-07,2006
80.16295,143.38073,99.10083,2006-04-10,2006
80.16848,142.54781,98.97368,2006-04-12,2006
80.17092,143.40617,98.51732,2006-04-13,2006
80.1762,143.18218,99.32992,2006-04-17,2006
80.17931,143.10468,99.24454,2006-04-18,2006
80.17983,143.09622,99.47335,2006-04-19,2006
